,Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
13823,4/2/2020,Mozambique,10,0,0,10,0,0,0
13824,4/2/2020,Namibia,14,0,3,11,0,0,1
13825,4/2/2020,Nepal,6,0,1,5,1,0,0
13826,4/2/2020,Netherlands,14788,1341,10,13437,1092,166,0
13827,4/2/2020,New Zealand,797,1,92,704,89,0,9
13828,4/2/2020,Nicaragua,5,1,0,4,0,0,0
13829,4/2/2020,Niger,98,5,0,93,24,0,0
13830,4/2/2020,Nigeria,184,2,20,162,10,0,11
13831,4/2/2020,North Macedonia,384,11,17,356,30,0,0
13832,4/2/2020,Norway,5147,50,32,5065,284,6,19
13833,4/2/2020,Oman,231,1,57,173,21,0,23
13834,4/2/2020,Pakistan,2686,40,126,2520,265,6,1
13835,4/2/2020,Palau,0,0,0,0,0,0,0
13836,4/2/2020,Panama,1317,32,9,1276,136,2,0
13837,4/2/2020,Papua New Guinea,1,0,0,1,0,0,0
13838,4/2/2020,Paraguay,77,3,2,72,8,0,1
13839,4/2/2020,Peru,1414,183,537,694,91,22,143
13840,4/2/2020,Philippines,2633,107,51,2475,322,11,1
13841,4/2/2020,Poland,2946,57,56,2833,392,14,9
13842,4/2/2020,Portugal,9034,209,68,8757,783,22,25
13843,4/2/2020,Qatar,949,3,72,874,114,1,1
13844,4/2/2020,Romania,2738,115,267,2356,278,23,15
13845,4/2/2020,Russia,3548,30,235,3283,771,6,45
13846,4/2/2020,Rwanda,84,0,0,84,2,0,0
13847,4/2/2020,Saint Kitts and Nevis,9,0,0,9,1,0,0
13848,4/2/2020,Saint Lucia,13,0,1,12,0,0,0
13849,4/2/2020,Saint Vincent and the Grenadines,2,0,1,1,1,0,0
13850,4/2/2020,Samoa,0,0,0,0,0,0,0
13851,4/2/2020,San Marino,245,30,21,194,9,4,8
13852,4/2/2020,Sao Tome and Principe,0,0,0,0,0,0,0
13853,4/2/2020,Saudi Arabia,1885,21,328,1536,165,5,64
13854,4/2/2020,Senegal,195,1,55,139,5,0,10
13855,4/2/2020,Serbia,1171,31,0,1140,111,3,0
13856,4/2/2020,Seychelles,10,0,0,10,0,0,0
13857,4/2/2020,Sierra Leone,2,0,0,2,0,0,0
13858,4/2/2020,Singapore,1049,4,266,779,49,1,21
13859,4/2/2020,Slovakia,426,1,5,420,26,0,2
13860,4/2/2020,Slovenia,897,17,70,810,56,2,60
13861,4/2/2020,Solomon Islands,0,0,0,0,0,0,0
13862,4/2/2020,Somalia,5,0,1,4,0,0,0
13863,4/2/2020,South Africa,1462,5,50,1407,82,0,0
13864,4/2/2020,South Sudan,0,0,0,0,0,0,0
13865,4/2/2020,Spain,112065,10348,26743,74974,7947,961,4096
13866,4/2/2020,Sri Lanka,151,4,21,126,5,1,0
13867,4/2/2020,Sudan,7,2,2,3,0,0,0
13868,4/2/2020,Summer Olympics 2020,0,0,0,0,0,0,0
13869,4/2/2020,Suriname,10,0,0,10,0,0,0
13870,4/2/2020,Sweden,5874,535,0,5339,554,80,0
13871,4/2/2020,Switzerland,18827,536,4013,14278,1059,48,1046
13872,4/2/2020,Syria,16,2,0,14,6,0,0
13873,4/2/2020,Taiwan*,339,5,45,289,10,0,6
13874,4/2/2020,Tajikistan,0,0,0,0,0,0,0
13875,4/2/2020,Tanzania,20,1,2,17,0,0,1
13876,4/2/2020,Thailand,1875,15,505,1355,104,3,89
13877,4/2/2020,Timor-Leste,1,0,0,1,0,0,0
13878,4/2/2020,Togo,39,2,17,20,3,0,7
13879,4/2/2020,Trinidad and Tobago,94,5,1,88,4,0,0
13880,4/2/2020,Tunisia,455,14,5,436,32,2,0
13881,4/2/2020,Turkey,18135,356,415,17364,2456,79,82
13882,4/2/2020,US,256809,8152,9001,239656,32222,1515,527
13883,4/2/2020,Uganda,45,0,0,45,1,0,0
13884,4/2/2020,Ukraine,897,22,19,856,103,2,6
13885,4/2/2020,United Arab Emirates,1024,8,96,920,210,0,35
13886,4/2/2020,United Kingdom,48718,3787,192,44739,4929,657,13
13887,4/2/2020,Uruguay,369,4,68,297,19,2,6
13888,4/2/2020,Uzbekistan,205,2,25,178,24,0,13
13889,4/2/2020,Vanuatu,0,0,0,0,0,0,0
13890,4/2/2020,Venezuela,146,5,43,98,3,2,2
13891,4/2/2020,Vietnam,233,0,75,158,15,0,12
13892,4/2/2020,West Bank and Gaza,161,1,18,142,27,0,0
13893,4/2/2020,Yemen,0,0,0,0,0,0,0
13894,4/2/2020,Zambia,39,1,0,38,3,1,0
13895,4/2/2020,Zimbabwe,9,1,0,8,1,0,0
13896,4/3/2020,Afghanistan,275,8,10,257,35,4,0
13897,4/3/2020,Albania,304,17,89,198,27,1,13
13898,4/3/2020,Algeria,1171,105,62,1004,185,19,1
13899,4/3/2020,Andorra,439,16,16,407,11,1,6
13900,4/3/2020,Angola,8,2,1,5,0,0,0
13901,4/3/2020,Antigua and Barbuda,15,0,0,15,6,0,0
13902,4/3/2020,Argentina,1265,39,266,960,132,3,10
13903,4/3/2020,Armenia,736,7,43,686,73,0,10
13904,4/3/2020,Australia,5330,28,649,4653,214,4,129
13905,4/3/2020,Austria,11524,168,2022,9334,395,10,273
13906,4/3/2020,Azerbaijan,443,5,32,406,43,0,6
13907,4/3/2020,Bahamas,24,1,1,22,0,0,0
13908,4/3/2020,Bahrain,672,4,382,286,29,0,1
13909,4/3/2020,Bangladesh,61,6,26,29,5,0,1
13910,4/3/2020,Barbados,51,0,0,51,5,0,0
13911,4/3/2020,Belarus,351,4,53,294,47,0,0
13912,4/3/2020,Belgium,16770,1143,2872,12755,1422,132,377
13913,4/3/2020,Belize,4,0,0,4,1,0,0
13914,4/3/2020,Benin,16,0,2,14,3,0,1
13915,4/3/2020,Bhutan,5,0,2,3,0,0,1
13916,4/3/2020,Bolivia,132,9,1,122,9,1,0
13917,4/3/2020,Bosnia and Herzegovina,579,17,27,535,46,1,7
13918,4/3/2020,Botswana,4,1,0,3,0,0,0
13919,4/3/2020,Brazil,9056,359,127,8570,1012,35,0
13920,4/3/2020,Brunei,134,1,65,68,1,0,9
13921,4/3/2020,Bulgaria,485,14,30,441,28,4,5
13922,4/3/2020,Burkina Faso,302,16,50,236,14,0,0
13923,4/3/2020,Burma,20,1,0,19,0,0,0
13924,4/3/2020,Burundi,3,0,0,3,0,0,0
13925,4/3/2020,Cabo Verde,6,1,0,5,0,0,0
13926,4/3/2020,Cambodia,114,0,35,79,4,0,1
13927,4/3/2020,Cameroon,509,8,17,484,203,1,7
13928,4/3/2020,Canada,13546,276,0,13270,1340,53,0
13929,4/3/2020,Central African Republic,8,0,0,8,5,0,0
13930,4/3/2020,Chad,8,0,0,8,0,0,0
13931,4/3/2020,Chile,3843,22,427,3394,333,4,92
13932,4/3/2020,China,82511,3326,75199,3986,79,4,195
13933,4/3/2020,Colombia,1267,25,55,1187,106,6,0
13934,4/3/2020,Comoros,0,0,0,0,0,0,0
13935,4/3/2020,Congo (Brazzaville),22,2,2,18,0,0,0
13936,4/3/2020,Congo (Kinshasa),134,13,3,118,0,0,0
13937,4/3/2020,Costa Rica,416,2,11,403,20,0,5
